Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Hombre,23,167,59,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,192,75,Ingeniería en Mecatronica,Primer semestre,2-3 veces,Ningún día,Falta de motivación,Si
Hombre,21,163,64,Ingeniería industrial,Quinto semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,194,61,Ingeniería en Electrónica,Quinto semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,154,64,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,24,193,83,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,193,70,Ingeniería en Mecatronica,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,166,79,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,22,159,70,Ingeniería en Diseño,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,153,63,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,24,165,58,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,167,67,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,22,167,74,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,24,189,82,Ingeniería en Diseño,Quinto semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,190,60,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,2-3 veces,Falta de motivación,No
Hombre,22,189,82,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,24,170,79,Ingeniería en Diseño,Quinto semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,20,150,68,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,19,157,77,Ingeniería en Electrónica,Noveno semestre,Todos los días,Todos los días,Falta de motivación,Si
Hombre,20,169,55,Ingeniería en Diseño,Séptimo semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,24,196,62,Ingeniería en Electrónica,Quinto semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,21,171,62,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,187,76,Ingeniería industrial,Noveno semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,169,69,Ingeniería industrial,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,186,81,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,24,194,76,Ingeniería en Diseño,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,172,66,Ingeniería en Diseño,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,180,73,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,182,61,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,173,84,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Ningún día,Falta de motivación,No
Hombre,24,150,65,Ingeniería en Mecatronica,Séptimo semestre,1 vez,1 vez,Falta de motivación,No
Mujer,21,197,83,Ingeniería en Mecatronica,Quinto semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,24,172,70,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,170,58,Ingeniería en Electrónica,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,186,61,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,153,81,Ingeniería industrial,Primer semestre,Todos los días,2-3 veces,Falta de motivación,Si
Hombre,24,180,81,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,20,151,60,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,23,169,63,Ingeniería en Diseño,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,185,61,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,151,72,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,170,66,Ingeniería en Diseño,Tercer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,20,178,70,Ingeniería en Diseño,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,21,181,68,Ingeniería en Electrónica,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,193,74,Ingeniería en Mecatronica,Tercer semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,23,186,60,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,24,175,70,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,21,195,85,Ingeniería en Mecatronica,Quinto semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,23,173,55,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,19,160,71,Ingeniería en Diseño,Quinto semestre,Todos los días,2-3 veces,Falta de motivación,No
Hombre,19,177,75,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,196,85,Ingeniería en Diseño,Quinto semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,193,64,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,24,186,55,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,175,61,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,182,81,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,181,70,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,176,72,Ingeniería en Electrónica,Tercer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,156,69,Ingeniería en Diseño,Quinto semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,22,161,62,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,2-3 veces,Falta de motivación,Si
Mujer,23,165,67,Ingeniería en Mecatronica,Primer semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Hombre,21,174,70,Ingeniería en Diseño,Séptimo semestre,Todos los días,Todos los días,Falta de motivación,Si
Hombre,22,180,61,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,20,161,58,Ingeniería en Diseño,Quinto semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,183,81,Ingeniería en Mecatronica,Quinto semestre,1 vez,Ningún día,Falta de motivación,Si
Mujer,24,173,81,Ingeniería en Diseño,Quinto semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,191,67,Ingeniería industrial,Quinto semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,163,65,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,185,84,Ingeniería industrial,Séptimo semestre,1 vez,Todos los días,Falta de motivación,Si
Mujer,23,160,85,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,155,68,Ingeniería en Electrónica,Tercer semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,173,62,Ingeniería en Diseño,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,179,56,Ingeniería industrial,Quinto semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,187,62,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,Todos los días,Falta de motivación,No
Mujer,21,175,56,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,19,162,76,Ingeniería industrial,Tercer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,190,60,Ingeniería industrial,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,168,57,Ingeniería en Electrónica,Séptimo semestre,Todos los días,2-3 veces,Falta de motivación,Si
Mujer,21,182,76,Ingeniería en Electrónica,Primer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,23,184,64,Ingeniería en Diseño,Tercer semestre,2-3 veces,Todos los días,Falta de motivación,Si
Hombre,20,166,79,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,No
Mujer,19,171,57,Ingeniería industrial,Noveno semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,177,71,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,22,151,68,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,19,159,73,Ingeniería en Electrónica,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,22,196,78,Ingeniería industrial,Noveno semestre,1 vez,1 vez,Falta de motivación,No
Hombre,21,185,72,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Todos los días,Falta de motivación,No
Hombre,19,160,75,Ingeniería industrial,Primer semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,155,75,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,20,190,77,Ingeniería en Diseño,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,167,59,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,164,78,Ingeniería en Diseño,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,192,66,Ingeniería en Diseño,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,20,161,70,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,187,79,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,24,190,68,Ingeniería industrial,Noveno semestre,Todos los días,Ningún día,Falta de motivación,Si
Hombre,21,182,76,Ingeniería industrial,Quinto semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,194,76,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,159,55,Ingeniería en Diseño,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,24,185,77,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,22,167,61,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,24,190,67,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,178,73,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,179,67,Ingeniería en Electrónica,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,188,59,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,150,63,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,184,85,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,23,188,57,Ingeniería en Mecatronica,Quinto semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,179,68,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,158,60,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,23,177,81,Ingeniería en Diseño,Tercer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,184,76,Ingeniería en Diseño,Primer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,24,168,62,Ingeniería en Mecatronica,Séptimo semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,19,165,78,Ingeniería en Electrónica,Primer semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,168,69,Ingeniería industrial,Séptimo semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,24,152,60,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,20,156,84,Ingeniería en Mecatronica,Primer semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,193,78,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,155,66,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,159,58,Ingeniería industrial,Quinto semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,23,181,59,Ingeniería en Diseño,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,163,79,Ingeniería en Electrónica,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,179,67,Ingeniería en Diseño,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,159,67,Ingeniería industrial,Tercer semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,24,169,65,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,21,185,56,Ingeniería industrial,Quinto semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,170,73,Ingeniería industrial,Quinto semestre,2-3 veces,2-3 veces,Falta de motivación,No
Hombre,22,160,57,Ingeniería en Mecanica Automotriz,Quinto semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,167,66,Ingeniería en Electrónica,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,161,57,Ingeniería en Electrónica,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,176,77,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,188,62,Ingeniería en Diseño,Tercer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,24,160,63,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,24,150,59,Ingeniería en Diseño,Noveno semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,155,56,Ingeniería en Mecatronica,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,186,72,Ingeniería en Mecatronica,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,23,170,58,Ingeniería industrial,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,197,79,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,23,179,58,Ingeniería industrial,Primer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,19,191,55,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,19,173,82,Ingeniería industrial,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,23,178,68,Ingeniería en Diseño,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,24,189,66,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,196,66,Ingeniería en Electrónica,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,189,56,Ingeniería industrial,Quinto semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,20,173,58,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,172,57,Ingeniería en Electrónica,Noveno semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,19,178,68,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,20,189,75,Ingeniería en Diseño,Noveno semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,193,74,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Mujer,20,164,62,Ingeniería industrial,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,187,82,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,191,75,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,Falta de motivación,Si
Mujer,23,182,58,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,22,183,78,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,24,188,68,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,185,69,Ingeniería en Diseño,Noveno semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,180,84,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,156,61,Ingeniería en Diseño,Quinto semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,164,84,Ingeniería industrial,Tercer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,177,59,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,176,74,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,20,180,65,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,150,82,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,Ningún día,Falta de motivación,No
Mujer,19,174,65,Ingeniería en Electrónica,Primer semestre,1 vez,Todos los días,Falta de motivación,No
Mujer,21,156,79,Ingeniería en Mecanica Automotriz,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,19,179,85,Ingeniería en Diseño,Séptimo semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,21,160,66,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,158,71,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,22,160,82,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,152,59,Ingeniería en Electrónica,Quinto semestre,1 vez,Ningún día,Falta de motivación,Si
Hombre,23,158,62,Ingeniería industrial,Noveno semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,22,192,64,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,Falta de motivación,No
Mujer,19,168,84,Ingeniería en Diseño,Quinto semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,20,177,63,Ingeniería en Electrónica,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,22,155,69,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,155,72,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,184,61,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,180,67,Ingeniería en Mecatronica,Tercer semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,20,173,80,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,22,197,66,Ingeniería en Diseño,Primer semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,19,165,79,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,22,183,79,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,Falta de motivación,Si
Hombre,23,172,78,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,176,69,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,20,158,73,Ingeniería en Mecatronica,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,167,68,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,187,84,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,184,64,Ingeniería industrial,Quinto semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,189,72,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Todos los días,Falta de motivación,No
Hombre,19,176,56,Ingeniería en Diseño,Quinto semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,24,189,60,Ingeniería en Mecatronica,Noveno semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,21,175,63,Ingeniería en Diseño,Séptimo semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,176,77,Ingeniería industrial,Séptimo semestre,2-3 veces,Todos los días,Falta de motivación,No
Mujer,19,169,81,Ingeniería en Diseño,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,171,78,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,1 vez,Falta de motivación,Si
Mujer,21,190,59,Ingeniería en Diseño,Primer semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,173,81,Ingeniería en Electrónica,Quinto semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,170,65,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,20,167,84,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
